A    AX 
insistiu     I~ S I S TJ I+ UX 
insistência  I~ S I S T E~+ S I AX 
insondável   I~ S O~ D A+ V E W 
inspecionar  I~ S P E S I O N A+ RR 
inspetor     I~ S P E T O+ RR 
inspira  I~ S P I+ R AX 
inspirada    I~ S P I R A+ D AX 
inspiradas   I~ S P I R A+ D AX S 
inspirado    I~ S P I R A+ D UX 
inspirador   I~ S P I R A D O+ RR 
inspiram     I~ S P I+ R A~+ W~ 
inspirar     I~ S P I R A+ RR 
inspiraram   I~ S P I R A+ R A~+ W~ 
inspire  I~ S P I+ R IX 
inspirou     I~ S P I R O+ 
instabilidade    I~ S T A B I L I D A+ DJ IX 
instala  I~ S T A+ L AX 
instalada    I~ S T A L A+ D AX 
instaladas   I~ S T A L A+ D AX S 
instalado    I~ S T A L A+ D UX 
instalados   I~ S T A L A+ D UX S 
instalando   I~ S T A L A~+ D UX 
instalar     I~ S T A L A+ RR 
instalação   I~ S T A L A S A~+ W~ 
instalações  I~ S T A L A S O~+ I~ S 
instale  I~ S T A+ L IX 
instalou     I~ S T A L O+ 
instancias   I~ S T A~ S I+ AX S 
instantaneamente     I~ S T A~ T A N E A M E~+ TJ IX 
instante     I~ S T A~+ TJ IX 
instantes    I~ S T A~+ TJ IX S 
instantânea  I~ S T A~ T A~+ N I AX 
instantâneo  I~ S T A~ T A~+ N I UX 
instaram     I~ S T A+ R A~+ W~ 
instaurado   I~ S T A U R A+ D UX 
instaurou    I~ S T A U R O+ 
instintivamente  I~ S TJ I~ TJ I V A M E~+ TJ IX 
instinto     I~ S TJ I~+ T UX 
instintos    I~ S TJ I~+ T UX S 
institucionais   I~ S TJ I T U S I O N A+ IX S 
institucional    I~ S TJ I T U S I O N A+ W 
instituição  I~ S TJ I T U I S A~+ W~ 
instituições     I~ S TJ I T U I S O~+ I~ S 
instituto    I~ S TJ I T U+ T UX 
institutos   I~ S TJ I T U+ T UX S 
instituído   I~ S TJ I T U I+ D UX 
instrumental     I~ S T R U M E~ T A+ W 
instrumento  I~ S T R U M E~+ T UX 
instrumentos     I~ S T R U M E~+ T UX S 
instrutor    I~ S T R U T O+ RR 
instruções   I~ S T R U S O~+ I~ S 
instável     I~ S T A+ V E W 
instância    I~ S T A~+ S I AX 
insubstituível   I~ S U B S TJ I T U I+ V E W 
insuficiente     I~ S U F I S I E~+ TJ IX 
insuficientes    I~ S U F I S I E~+ TJ IX S 
insular  I~ S U L A+ RR 
insultado    I~ S U W T A+ D UX 
insultar     I~ S U W T A+ RR 
insulto  I~ S U+ W T UX 
insultos     I~ S U+ W T UX S 
insumo   I~ S U+ M UX 
insumos  I~ S U+ M UX S 
insuperável  I~ S U P E R A+ V E W 
insuportáveis    I~ S U P O RR T A+ V E IX S 
insuportável     I~ S U P O RR T A+ V E W 
insurgentes  I~ S U RR Z E~+ TJ IX S 
insustentável    I~ S U S T E~ T A+ V E W 
insólito     I~ S O+ L I T UX 
insólitos    I~ S O+ L I T UX S 
insônia  I~ S O+ N I AX 
intacta  I~ T A+ K T AX 
intactas     I~ T A+ K T AX S 
intacto  I~ T A+ K T UX 
intactos     I~ T A+ K T UX S 
integra  I~ T E+ G R AX 
integrada    I~ T E G R A+ D AX 
integradas   I~ T E G R A+ D AX S 
integrado    I~ T E G R A+ D UX 
integral     I~ T E G R A+ W 
integralmente    I~ T E G R A W M E~+ TJ IX 
integram     I~ T E+ G R A~+ W~ 
integrante   I~ T E G R A~+ TJ IX 
integrantes  I~ T E G R A~+ TJ IX S 
integrar     I~ T E G R A+ RR 
integrará    I~ T E G R A R A+ 
integração   I~ T E G R A S A~+ W~ 
integridade  I~ T E G R I D A+ DJ IX 
integrou     I~ T E G R O+ 
inteira  I~ T E+ I R AX 
inteiramente     I~ T E I R A M E~+ TJ IX 
inteiras     I~ T E+ I R AX S 
inteiro  I~ T E+ I R UX 
inteiros     I~ T E+ I R UX S 
intelectuais     I~ T E L E K T U A+ IX S 
intelectual  I~ T E L E K T U A+ W 
inteligente  I~ T E L I Z E~+ TJ IX 
inteligentes     I~ T E L I Z E~+ TJ IX S 
inteligência     I~ T E L I Z E~+ S I AX 
intencionais     I~ T E~ S I O N A+ IX S 
intencional  I~ T E~ S I O N A+ W 
intensa  I~ T E~+ S AX 
intensamente     I~ T E~ S A M E~+ TJ IX 
intensas     I~ T E~+ S AX S 
intensidade  I~ T E~ S I D A+ DJ IX 
intensifica  I~ T E~ S I F I+ K AX 
intensificando   I~ T E~ S I F I K A~+ D UX 
intensificar     I~ T E~ S I F I K A+ RR 
intensificou     I~ T E~ S I F I K O+ 
intensiva    I~ T E~ S I+ V AX 
intensivo    I~ T E~ S I+ V UX 
intensivos   I~ T E~ S I+ V UX S 
intenso  I~ T E~+ S UX 
intensos     I~ T E~+ S UX S 
intenção     I~ T E~ S A~+ W~ 
intenções    I~ T E~ S O~+ I~ S 
interajam    I~ T E R A+ Z A~+ W~ 
interativa   I~ T E R A TJ I+ V AX 
interativo   I~ T E R A TJ I+ V UX 
interação    I~ T E R A S A~+ W~ 
interceptada     I~ T E RR S E P T A+ D AX 
interceptados    I~ T E RR S E P T A+ D UX S 
interceptar  I~ T E RR S E P T A+ RR 
intercontinentais    I~ T E RR K O~ TJ I N E~ T A+ IX S 
interdependência     I~ T E RR D E P E~ D E~+ S I AX 
interditadas     I~ T E RR DJ I T A+ D AX S 
interessa    I~ T E R E+ S AX 
interessada  I~ T E R E S A+ D AX 
interessadas     I~ T E R E S A+ D AX S 
interessado  I~ T E R E S A+ D UX 
interessados     I~ T E R E S A+ D UX S 
interessam   I~ T E R E+ S A~+ W~ 
interessante     I~ T E R E S A~+ TJ IX 
interessantes    I~ T E R E S A~+ TJ IX S 
interessar   I~ T E R E S A+ RR 
interessaram     I~ T E R E S A+ R A~+ W~ 
interessava  I~ T E R E S A+ V AX 
interesse    I~ T E R E+ S IX 
interesses   I~ T E R E+ S IX S 
interessou   I~ T E R E S O+ 
interfere    I~ T E RR F E+ R IX 
interferi    I~ T E RR F E R I+ 
interferir   I~ T E RR F E R I+ RR 
interferiu   I~ T E RR F E R I+ UX 
interferência    I~ T E RR F E R E~+ S I AX 
interferências   I~ T E RR F E R E~+ S I AX S 
interfira    I~ T E RR F I+ R AX 
intergovernamental   I~ T E RR G O V E RR N A M E~ T A+ W 
interino     I~ T E R I+ N UX 
interior     I~ T E R I O+ RR 
interiores   I~ T E R I O+ R IX S 
interlocutor     I~ T E RR L O K U T O+ RR 
intermediária    I~ T E RR M E DJ I A+ R I AX 
intermediário    I~ T E RR M E DJ I A+ R I UX 
intermediários   I~ T E RR M E DJ I A+ R I UX S 
intermináveis    I~ T E RR M I N A+ V E IX S 
interminável     I~ T E RR M I N A+ V E W 
intermitente     I~ T E RR M I T E~+ TJ IX 
interna  I~ T E+ RR N AX 
internacionais   I~ T E RR N A S I O N A+ IX S 
internacional    I~ T E RR N A S I O N A+ W 
internacionalmente   I~ T E RR N A S I O N A W M E~+ TJ IX 
internada    I~ T E RR N A+ D AX 
internado    I~ T E RR N A+ D UX 
internamente     I~ T E RR N A M E~+ TJ IX 
internamento     I~ T E RR N A M E~+ T UX 
internar     I~ T E RR N A+ RR 
internas     I~ T E+ RR N AX S 
internato    I~ T E RR N A+ T UX 
internação   I~ T E RR N A S A~+ W~ 
interno  I~ T E+ RR N UX 
internos     I~ T E+ RR N UX S 
interpreta   I~ T E RR P R E+ T AX 
interpretadas    I~ T E RR P R E T A+ D AX S 
interpretado     I~ T E RR P R E T A+ D UX 
interpretados    I~ T E RR P R E T A+ D UX S 
interpretam  I~ T E RR P R E+ T A~+ W~ 
interpretar  I~ T E RR P R E T A+ RR 
interpretaram    I~ T E RR P R E T A+ R A~+ W~ 
interpretará     I~ T E RR P R E T A R A+ 
interpretava     I~ T E RR P R E T A+ V AX 
interpretação    I~ T E RR P R E T A S A~+ W~ 
interpretações   I~ T E RR P R E T A S O~+ I~ S 
interpretou  I~ T E RR P R E T O+ 
interrogado  I~ T E RR O G A+ D UX 
interrogar   I~ T E RR O G A+ RR 
interrogatório   I~ T E RR O G A T O+ R I UX 
interrogatórios  I~ T E RR O G A T O+ R I UX S 
interrompe   I~ T E RR O~+ P IX 
interromper  I~ T E RR O~+ P E RR 
interromperam    I~ T E RR O~ P E+ R A~+ W~ 
interrompida     I~ T E RR O~ P I+ D AX 
interrompidas    I~ T E RR O~ P I+ D AX S 
interrompido     I~ T E RR O~ P I+ D UX 
interrompidos    I~ T E RR O~ P I+ D UX S 
interruptor  I~ T E RR U P T O+ RR 
interrupção  I~ T E RR U P S A~+ W~ 
intervalo    I~ T E RR V A+ L UX 
intervalos   I~ T E RR V A+ L UX S 
interveio    I~ T E RR V E+ I UX 
intervenção  I~ T E RR V E~ S A~+ W~ 
intervenções     I~ T E RR V E~ S O~+ I~ S 
intervindo   I~ T E RR V I~+ D UX 
intervir     I~ T E RR V I+ RR 
intestinal   I~ T E S TJ I N A+ W 
intestino    I~ T E S TJ I+ N UX 
intimamente  I~ TJ I M A M E~+ TJ IX 
intimar  I~ TJ I M A+ RR 
intimidade   I~ TJ I M I D A+ DJ IX 
intimidades  I~ TJ I M I D A+ DJ IX S 
intimidar    I~ TJ I M I D A+ RR 
intitulado   I~ TJ I T U L A+ D UX 
intolerável  I~ T O L E R A+ V E W 
intolerância     I~ T O L E R A~+ S I AX 
intransigente    I~ T R A~ S I Z E~+ TJ IX 
intransponível   I~ T R A~ S P O N I+ V E W 
intrigas     I~ T R I+ G AX S 
introduz     I~ T R O D U+ S 
introduzido  I~ T R O D U Z I+ D UX 
introduzir   I~ T R O D U Z I+ RR 
introduziu   I~ T R O D U Z I+ UX 
introdução   I~ T R O D U S A~+ W~ 
intrínseca   I~ T R I+ N S E K AX 
intuito  I~ T U+ I T UX 
intérprete   I~ T E+ RR P R E TJ IX 
intérpretes  I~ T E+ RR P R E TJ IX S 
inumeráveis  I N U M E R A+ V E IX S 
inundada     I N U~ D A+ D AX 
inundadas    I N U~ D A+ D AX S 
inundações   I N U~ D A S O~+ I~ S 
inusitada    I N U Z I T A+ D AX 
inusitado    I N U Z I T A+ D UX 
invade   I~ V A+ DJ IX 
invadida     I~ V A DJ I+ D AX 
invadido     I~ V A DJ I+ D UX 
invadidos    I~ V A DJ I+ D UX S 
invadindo    I~ V A DJ I~+ D UX 
invadir  I~ V A DJ I+ RR 
invadiram    I~ V A DJ I+ R A~+ W~ 
invadiu  I~ V A DJ I+ UX 
invalidez    I~ V A L I D E+ S 
invariavelmente  I~ V A R I A V E W M E~+ TJ IX 
invasor  I~ V A Z O+ RR 
invasores    I~ V A Z O+ R IX S 
invasão  I~ V A Z A~+ W~ 
inveja   I~ V E+ Z AX 
inventada    I~ V E~ T A+ D AX 
inventado    I~ V E~ T A+ D UX 
inventados   I~ V E~ T A+ D UX S 
inventar     I~ V E~ T A+ RR 
inventaram   I~ V E~ T A+ R A~+ W~ 
inventor     I~ V E~ T O+ RR 
inventário   I~ V E~ T A+ R I UX 
invenção     I~ V E~ S A~+ W~ 
inverdades   I~ V E RR D A+ DJ IX S 
inverno  I~ V E+ RR N UX 
inversa  I~ V E+ RR S AX 
inversamente     I~ V E RR S A M E~+ TJ IX 
inverso  I~ V E+ RR S UX 
inversão     I~ V E RR S A~+ W~ 
inverter     I~ V E+ RR T E RR 
inverteu     I~ V E RR T E+ UX 
investe  I~ V E+ S TJ IX 
investem     I~ V E+ S T E~ I~ 
investida    I~ V E S TJ I+ D AX 
investido    I~ V E S TJ I+ D UX 
investidor   I~ V E S TJ I D O+ RR 
investidores     I~ V E S TJ I D O+ R IX S 
investidos   I~ V E S TJ I+ D UX S 
investiga    I~ V E S TJ I+ G AX 
investigada  I~ V E S TJ I G A+ D AX 
investigadas     I~ V E S TJ I G A+ D AX S 
investigado  I~ V E S TJ I G A+ D UX 
investigadora    I~ V E S TJ I G A D O+ R AX 
investigadores   I~ V E S TJ I G A D O+ R IX S 
investigados     I~ V E S TJ I G A+ D UX S 
investigando     I~ V E S TJ I G A~+ D UX 
investigar   I~ V E S TJ I G A+ RR 
investigará  I~ V E S TJ I G A R A+ 
investigação     I~ V E S TJ I G A S A~+ W~ 
investigações    I~ V E S TJ I G A S O~+ I~ S 
investimento     I~ V E S TJ I M E~+ T UX 
investimentos    I~ V E S TJ I M E~+ T UX S 
investindo   I~ V E S TJ I~+ D UX 
investir     I~ V E S TJ I+ RR 
investiram   I~ V E S TJ I+ R A~+ W~ 
investiu     I~ V E S TJ I+ UX 
invictos     I~ V I+ K T UX S 
invisíveis   I~ V I Z I+ V E IX S 
inviável     I~ V I A+ V E W 
invocação    I~ V O K A S A~+ W~ 
involuntariamente    I~ V O L U~ T A R I A M E~+ TJ IX 
involuntária     I~ V O L U~ T A+ R I AX 
inválidas    I~ V A+ L I D AX S 
inválidos    I~ V A+ L I D UX S 
invés    I~ V E+ S 
inédita  I N E+ DJ I T AX 
inéditas     I N E+ DJ I T AX S 
inédito  I N E+ DJ I T UX 
inéditos     I N E+ DJ I T UX S 
inércia  I N E+ RR S I AX 
início   I N I+ S I UX 
inúmeras     I N U+ M E R AX S 
inúmeros     I N U+ M E R UX S 
inúteis  I N U+ T E IX S 
inútil   I N U+ TJ I W 
ioga     I O+ G AX 
iorquino     I O RR K I+ N UX 
ir   I+ RR 
ira  I R AX 
iraniana     I R A N I A~+ N AX 
iranianas    I R A N I A~+ N AX S 
iraniano     I R A N I A~+ N UX 
iranianos    I R A N I A~+ N UX S 
iraquiano    I R A K I A~+ N UX 
irei     I R E+ IX 
irem     I+ R E~ I~ 
iremos   I R E+ M UX S 
iria     I R I+ AX 
iriam    I R I+ A~+ W~ 
irlandeses   I RR L A~ D E+ Z IX S 
irlandês     I RR L A~ D E+ S 
irmã     I RR M A~+ 
irmão    I RR M A~+ W~ 
irmãos   I RR M A~+ W~ S 
irmãs    I RR M A~+ S 
ironia   I R O N I+ AX 
ironicamente     I R O N I K A M E~+ TJ IX 
ironiza  I R O N I+ Z AX 
irracional   I RR A S I O N A+ W 
irreal   I RR E A+ W 
irreconhecível   I RR E K O NJ E S I+ V E W 
irregular    I RR E G U L A+ RR 
irregulares  I RR E G U L A+ R IX S 
irregularidade   I RR E G U L A R I D A+ DJ IX 
irregularidades  I RR E G U L A R I D A+ DJ IX S 
irreparável  I RR E P A R A+ V E W 
irresponsabilidade   I RR E S P O~ S A B I L I D A+ DJ IX 
irresponsável    I RR E S P O~ S A+ V E W 
irrestrito   I RR E S T R I+ T UX 
irreversíveis    I RR E V E RR S I+ V E IX S 
irreversível     I RR E V E RR S I+ V E W 
irrigação    I RR I G A S A~+ W~ 
irrisório    I RR I Z O+ R I UX 
irrita   I RR I+ T AX 
irritada     I RR I T A+ D AX 
irritado     I RR I T A+ D UX 
irritados    I RR I T A+ D UX S 
irritante    I RR I T A~+ TJ IX 
irritação    I RR I T A S A~+ W~ 
irritou  I RR I T O+ 
irá  I R A+ 
irã  I R A~+ 
irão     I R A~+ W~ 
irônico  I R O+ N I K UX 
is   I+ S 
isca     I+ S K AX 
isenta   I Z E~+ T AX 
isento   I Z E~+ T UX 
isentos  I Z E~+ T UX S 
isenção  I Z E~ S A~+ W~ 
islamismo    I Z L A M I+ Z M UX 
islamistas   I Z L A M I+ S T AX S 
islamitas    I Z L A M I+ T AX S 
islâmica     I Z L A~+ M I K AX 
islâmico     I Z L A~+ M I K UX 
islâmicos    I Z L A~+ M I K UX S 
islã     I Z L A~+ 
isolada  I Z O L A+ D AX 
isoladamente     I Z O L A D A M E~+ TJ IX 
isoladas     I Z O L A+ D AX S 
isolado  I Z O L A+ D UX 
isolados     I Z O L A+ D UX S 
isolamento   I Z O L A M E~+ T UX 
isolar   I Z O L A+ RR 
isquemia     I S K E M I+ AX 
israelense   I Z RR A E L E~+ S IX 
israelenses  I Z RR A E L E~+ S IX S 
israelitas   I Z RR A E L I+ T AX S 
isso     I+ S UX 
istmo    I+ S TJ I M UX 
isto     I+ S T UX 
isótopos     I Z O+ T O P UX S 
italiana     I T A L I A~+ N AX 
italianas    I T A L I A~+ N AX S 
italiano     I T A L I A~+ N UX 
italianos    I T A L I A~+ N UX S 
item     I+ T E~ I~ 
itens    I T E~+ S 
itinerário   I TJ I N E R A+ R I UX 
itália   I T A+ L I AX 
jacaré   Z A K A R E+ 
jacto    Z A+ K T UX 
jade     Z A+ DJ IX 
jamais   Z A M A+ IX S 
jan  Z A~+ 
janeiro  Z A N E+ I R UX 
janela   Z A N E+ L AX 
janelas  Z A N E+ L AX S 
jantar   Z A~ T A+ RR 
jantares     Z A~ T A+ R IX S 
japonesa     Z A P O N E+ Z AX 
japonesas    Z A P O N E+ Z AX S 
japoneses    Z A P O N E+ Z IX S 
japonês  Z A P O N E+ S 
japão    Z A P A~+ W~ 
jaqueta  Z A K E+ T AX 
jaquetas     Z A K E+ T AX S 
jardim   Z A RR DJ I~+ 
jardinagem   Z A RR DJ I N A+ Z E~ I~ 
jardineiro   Z A RR DJ I N E+ I R UX 
jardins  Z A RR DJ I~+ S 
jato     Z A+ T UX 
jatos    Z A+ T UX S 
jazida   Z A Z I+ D AX 
jeans    Z E A~+ S 
jeito    Z E+ I T UX 
jejum    Z E Z U~+ 
jerusalém    Z E R U Z A L E~+ I~ 
jesuítas     Z E Z U I+ T AX S 
jipe     Z I+ P IX 
joalheiro    Z O A LJ E+ I R UX 
joelho   Z O E+ LJ UX 
joelhos  Z O E+ LJ UX S 
joga     Z O+ G AX 
jogada   Z O G A+ D AX 
jogadas  Z O G A+ D AX S 
jogado   Z O G A+ D UX 
jogador  Z O G A D O+ RR 
jogadoras    Z O G A D O+ R AX S 
jogadores    Z O G A D O+ R IX S 
jogam    Z O+ G A~+ W~ 
jogamos  Z O G A~+ M UX S 
jogando  Z O G A~+ D UX 
jogar    Z O G A+ RR 
jogaram  Z O G A+ R A~+ W~ 
jogarem  Z O G A+ R E~ I~ 
jogava   Z O G A+ V AX 
jogavam  Z O G A+ V A~+ W~ 
jogo     Z O+ G UX 
jogos    Z O+ G UX S 
jogou    Z O G O+ 
jogue    Z O+ G IX 
joguei   Z O G E+ IX 
jordaniana   Z O RR D A N I A~+ N AX 
jornada  Z O RR N A+ D AX 
jornais  Z O RR N A+ IX S 
jornal   Z O RR N A+ W 
jornalismo   Z O RR N A L I+ Z M UX 
jornalista   Z O RR N A L I+ S T AX 
jornalistas  Z O RR N A L I+ S T AX S 
jornalístico     Z O RR N A L I+ S TJ I K UX 
jovem    Z O+ V E~ I~ 
jovens   Z O V E~+ S 
jovial   Z O V I A+ W 
jubilados    Z U B I L A+ D UX S 
judaicas     Z U D A+ I K AX S 
judaico  Z U D A+ I K UX 
judaísmo     Z U D A I+ Z M UX 
judeu    Z U D E+ UX 
judeus   Z U D E+ UX S 
judia    Z U DJ I+ AX 
judiciais    Z U DJ I S I A+ IX S 
judicial     Z U DJ I S I A+ W 
judiciária   Z U DJ I S I A+ R I AX 
judiciárias  Z U DJ I S I A+ R I AX S 
judiciário   Z U DJ I S I A+ R I UX 
juego    Z U E+ G UX 
juiz     Z U I+ S 
juizes   Z U+ I Z IX S 
julga    Z U+ W G AX 
julgadas     Z U W G A+ D AX S 
julgado  Z U W G A+ D UX 
julgados     Z U W G A+ D UX S 
julgam   Z U+ W G A~+ W~ 
julgamento   Z U W G A M E~+ T UX 
julgamentos  Z U W G A M E~+ T UX S 
julgando     Z U W G A~+ D UX 
julgar   Z U W G A+ RR 
julgava  Z U W G A+ V AX 
julgou   Z U W G O+ 
julho    Z U+ LJ UX 
junho    Z U+ NJ UX 
junio    Z U N I+ UX 
juniores     Z U N I O+ R IX S 
junta    Z U~+ T AX 
juntam   Z U~+ T A~+ W~ 
juntamente   Z U~ T A M E~+ TJ IX 
juntando     Z U~ T A~+ D UX 
juntar   Z U~ T A+ RR 
juntaram     Z U~ T A+ R A~+ W~ 
juntará  Z U~ T A R A+ 
juntas   Z U~+ T AX S 
junto    Z U~+ T UX 
juntos   Z U~+ T UX S 
juntou   Z U~ T O+ 
jurado   Z U R A+ D UX 
jurados  Z U R A+ D UX S 
jurisprudência   Z U R I S P R U D E~+ S I AX 
juro     Z U+ R UX 
juros    Z U+ R UX S 
jurídica     Z U R I+ DJ I K AX 
jurídicas    Z U R I+ DJ I K AX S 
jurídico     Z U R I+ DJ I K UX 
jurídicos    Z U R I+ DJ I K UX S 
jus  Z U+ S 
justa    Z U+ S T AX 
justamente   Z U S T A M E~+ TJ IX 
justas   Z U+ S T AX S 
justifica    Z U S TJ I F I+ K AX 
justificada  Z U S TJ I F I K A+ D AX 
justificadas     Z U S TJ I F I K A+ D AX S 
justificam   Z U S TJ I F I+ K A~+ W~ 
justificar   Z U S TJ I F I K A+ RR 
justificaram     Z U S TJ I F I K A+ R A~+ W~ 
justificativa    Z U S TJ I F I K A TJ I+ V AX 
justificativas   Z U S TJ I F I K A TJ I+ V AX S 
justificou   Z U S TJ I F I K O+ 
justifique   Z U S TJ I F I+ K IX 
justiça  Z U S TJ I+ S AX 
justo    Z U+ S T UX 
justos   Z U+ S T UX S 
juvenil  Z U V E N I+ W 
juventude    Z U V E~ T U+ DJ IX 
juíza    Z U I+ Z AX 
juízes   Z U I+ Z IX S 
juízo    Z U I+ Z UX 
já   Z A+ 
jóia     Z O+ I AX 
jóias    Z O+ I AX S 
jóquei   Z O+ K E IX 
júnior   Z U+ N I O RR 
júri     Z U+ R IX 
kg   K G IX 
killers  K I L E+ RR S 
kilos    K I+ L UX S 
kit  K I+ TJ IX 
kuwaitiana   K U V A I TJ I A~+ N AX 
lO   L O+ 
la   L A+ 
labaredas    L A B A R E+ D AX S 
labirinto    L A B I R I~+ T UX 
laboral  L A B O R A+ W 
laboratório  L A B O R A T O+ R I UX 
laboratórios     L A B O R A T O+ R I UX S 
lacrimogêneo     L A K R I M O Z E+ N I UX 
lacuna   L A K U+ N AX 
lacunas  L A K U+ N AX S 
ladeado  L A D E A+ D UX 
ladeira  L A D E+ I R AX 
lado     L A+ D UX 
lados    L A+ D UX S 
ladrão   L A D R A~+ W~ 
ladrões  L A D R O~+ I~ S 
lagarto  L A G A+ RR T UX 
lago     L A+ G UX 
lagoa    L A G O+ AX 
lagoas   L A G O+ AX S 
laica    L A+ I K AX 
laico    L A+ I K UX 
laje     L A+ Z IX 
lamenta  L A M E~+ T AX 
lamentam     L A M E~+ T A~+ W~ 
lamentando   L A M E~ T A~+ D UX 
lamentar     L A M E~ T A+ RR 
lamento  L A M E~+ T UX 
lamentou     L A M E~ T O+ 
lamentável   L A M E~ T A+ V E W 
lance    L A~+ S IX 
lances   L A~+ S IX S 
lancha   L A~+ SCH AX 
lanchas  L A~+ SCH AX S 
lanchonete   L A~ SCH O N E+ TJ IX 
lanterna     L A~ T E+ RR N AX 
lançada  L A~ S A+ D AX 
lançadas     L A~ S A+ D AX S 
lançado  L A~ S A+ D UX 
lançados     L A~ S A+ D UX S 
lançamento   L A~ S A M E~+ T UX 
lançamentos  L A~ S A M E~+ T UX S 
lançamos     L A~ S A~+ M UX S 
lançar   L A~ S A+ RR 
lançaram     L A~ S A+ R A~+ W~ 
lançou   L A~ S O+ 
lapso    L A+ P S UX 
lar  L A+ RR 
laranja  L A R A~+ Z AX 
lares    L A+ R IX S 
larga    L A+ RR G AX 
largada  L A RR G A+ D AX 
largamente   L A RR G A M E~+ TJ IX 
largando     L A RR G A~+ D UX 
largar   L A RR G A+ RR 
largaram     L A RR G A+ R A~+ W~ 
largo    L A+ RR G UX 
largos   L A+ RR G UX S 
largou   L A RR G O+ 
las  L A+ S 
laser    L A+ Z E RR 
last     L A+ S TJ IX 
lastro   L A+ S T R UX 
lata     L A+ T AX 
latas    L A+ T AX S 
latente  L A T E~+ TJ IX 
laterais     L A T E R A+ IX S 
lateral  L A T E R A+ W 
latim    L A TJ I~+ 
latinas  L A TJ I+ N AX S 
latino   L A TJ I+ N UX 
latinos  L A TJ I+ N UX S 
latitude     L A TJ I T U+ DJ IX 
laudo    L A+ U D UX 
lava     L A+ V AX 
lavada   L A V A+ D AX 
lavador  L A V A D O+ RR 
lavados  L A V A+ D UX S 
lavagem  L A V A+ Z E~ I~ 
lavar    L A V A+ RR 
lavou    L A V O+ 
lavoura  L A V O+ R AX 
lavouras     L A V O+ R AX S 
lazer    L A+ Z E RR 
laços    L A+ S UX S 
leal     L E A+ W 
lealdade     L E A W D A+ DJ IX 
leasing  L E A Z I~+ G IX 
lebre    L E+ B R IX 
legado   L E G A+ D UX 
legais   L E G A+ IX S 
legal    L E G A+ W 
legalidade   L E G A L I D A+ DJ IX 
legalizar    L E G A L I Z A+ RR 
legalização  L E G A L I Z A S A~+ W~ 
legalmente   L E G A W M E~+ TJ IX 
legenda  L E Z E~+ D AX 
legendas     L E Z E~+ D AX S 
legislador   L E Z I Z L A D O+ RR 
legislar     L E Z I Z L A+ RR 
legislativa  L E Z I Z L A TJ I+ V AX 
legislativas     L E Z I Z L A TJ I+ V AX S 
legislatura  L E Z I Z L A T U+ R AX 
legislação   L E Z I Z L A S A~+ W~ 
legistas     L E Z I+ S T AX S 
legitimamente    L E Z I TJ I M A M E~+ TJ IX 
legitimidade     L E Z I TJ I M I D A+ DJ IX 
legião   L E Z I A~+ W~ 
legou    L E G O+ 
legumes  L E G U+ M IX S 
legítima     L E Z I+ TJ I M AX 
legítimo     L E Z I+ TJ I M UX 
legítimos    L E Z I+ TJ I M UX S 
lei  L E+ IX 
leia     L E+ I AX 
leigo    L E+ I G UX 
leigos   L E+ I G UX S 
leiloada     L E I L O A+ D AX 
leiloado     L E I L O A+ D UX 
leilão   L E I L A~+ W~ 
leilões  L E I L O~+ I~ S 
leis     L E+ IX S 
leite    L E+ I TJ IX 
leito    L E+ I T UX 
leitor   L E I T O+ RR 
leitores     L E I T O+ R IX S 
leitos   L E+ I T UX S 
leitura  L E I T U+ R AX 
leituras     L E I T U+ R AX S 
leitão   L E I T A~+ W~ 
lema     L E+ M AX 
lembra   L E~+ B R AX 
lembrada     L E~ B R A+ D AX 
lembrado     L E~ B R A+ D UX 
lembram  L E~+ B R A~+ W~ 
lembrando    L E~ B R A~+ D UX 
lembrança    L E~ B R A~+ S AX 
lembranças   L E~ B R A~+ S AX S 
lembrar  L E~ B R A+ RR 
lembrava     L E~ B R A+ V AX 
lembre   L E~+ B R IX 
lembrei  L E~ B R E+ IX 
lembrem  L E~+ B R E~ I~ 
lembro   L E~+ B R UX 
lembrou  L E~ B R O+ 
lenda    L E~+ D AX 
lendas   L E~+ D AX S 
lendo    L E~+ D UX 
lendária     L E~ D A+ R I AX 
lendário     L E~ D A+ R I UX 
lenha    L E+ NJ AX 
lenta    L E~+ T AX 
lentamente   L E~ T A M E~+ TJ IX 
lentas   L E~+ T AX S 
lente    L E~+ TJ IX 
lentes   L E~+ TJ IX S 
lentidão     L E~ TJ I D A~+ W~ 
lento    L E~+ T UX 
lenço    L E~ S UX 
lençóis  L E~ S O+ IX S 
leque    L E+ K IX 
ler  L E+ RR 
leram    L E+ R A~+ W~ 
lerá     L E R A+ 
les  L E+ S 
lesionados   L E Z I O N A+ D UX S 
leste    L E+ S TJ IX 
lesão    L E Z A~+ W~ 
lesões   L E Z O~+ I~ S 
letais   L E T A+ IX S 
letal    L E T A+ W 
letivo   L E TJ I+ V UX 
letra    L E+ T R AX 
letras   L E+ T R AX S 
leu  L E+ UX 
leva     L E+ V AX 
levada   L E V A+ D AX 
levadas  L E V A+ D AX S 
levado   L E V A+ D UX 
levados  L E V A+ D UX S 
levam    L E+ V A~+ W~ 
levamos  L E V A~+ M UX S 
levando  L E V A~+ D UX 
levando-se   L E V A~+ D UX S IX 
levanta  L E V A~+ T AX 
levantada    L E V A~ T A+ D AX 
levantadas   L E V A~ T A+ D AX S 
levantado    L E V A~ T A+ D UX 
